diagnosis_type	diagnosis_code	diagnosis_description	icd9cm	icd10cm	flags
ICD9	852.23	SUBDURAL HEMORRHAGE FOLLOWING INJURY, WITHOUT MENTION OF OPEN INTRACRANIAL WOUND, WITH MODERATE [1-24 HOURS] LOSS OF CONSCIOUSNESS	85223	S065X3A	10000
ICD9	426.4	RIGHT BUNDLE BRANCH BLOCK	4264	I4510	10000
ICD9	V54.19	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF OTHER BONE	V5419	S32110D	10000
ICD9	914.3	BLISTER OF HAND(S) EXCEPT FINGER(S) ALONE, INFECTED	9143	S60529A	10111
ICD9	V23.89	OTHER HIGH-RISK PREGNANCY	V2389	O09892	10000
ICD9	611.72	LUMP OR MASS IN BREAST	61172	N6324	10000
ICD9	475	PERITONSILLAR ABSCESS	475	J36	00000
ICD9	437.2	HYPERTENSIVE ENCEPHALOPATHY	4372	I674	00000
ICD9	V49.62	STATUS POST AMPUTATION OF OTHER FINGER(S)	V4962	Z89029	10000
ICD9	V54.17	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF VERTEBRAE	V5417	S12491D	10000
ICD9	789.61	ABDOMINAL TENDERNESS, RIGHT UPPER QUADRANT	78961	R10811	10000
ICD9	736.75	CAVOVARUS DEFORMITY OF FOOT, ACQUIRED	73675	M216X9	10000
ICD9	803.99	OTHER OPEN SKULL FRACTURE WITH INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE, WITH CONCUSSION, UNSPECIFIED	80399	S0291XB	10111
ICD9	998.4	FOREIGN BODY ACCIDENTALLY LEFT DURING A PROCEDURE	9984	T81539A	10000
ICD9	V54.15	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER LEG	V5415	S72441D	10000
ICD9	E924.1	ACCIDENT CAUSED BY CAUSTIC AND CORROSIVE SUBSTANCES	E9241	NoDx	11000
ICD9	381.1	CHRONIC SEROUS OTITIS MEDIA	38110	H6520	10000
ICD9	569.3	HEMORRHAGE OF RECTUM AND ANUS	5693	K625	00000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S82109D	10000
ICD9	E819.4	MOTOR VEHICLE TRAFFIC ACCIDENT OF UNSPECIFIED NATURE INJURING OCCUPANT OF STREETCAR	E8194	V829XXA	10000
ICD9	372.42	PERIPHERAL PTERYGIUM, PROGRESSIVE	37242	H11059	10000
ICD9	441.1	THORACIC AORTIC ANEURYSM, RUPTURED	4411	I711	00000
ICD9	998.2	ACCIDENTAL PUNCTURE OR LACERATION DURING A PROCEDURE	9982	I9751	10000
ICD9	802.27	ALVEOLAR BORDER OF BODY OF MANDIBLE CLOSED FRACTURE	80227	S02670A	10000
ICD9	656.73	Other placental conditions affecting management of mother, antepartum condition or complication	65673	O43102	10000
ICD9	807.1	OPEN FRACTURE OF RIB(S)	80710	S2239XB	10000
ICD9	223.3	BENIGN NEOPLASM OF BLADDER	2233	D303	00000
ICD9	989.89	TOXIC EFFECT OF OTHER SUBSTANCES, CHIEFLY NONMEDICINAL AS TO SOURCE	98989	T578X3A	10000
ICD9	537.1	GASTRIC DIVERTICULUM	5371	K314	00000
ICD9	292.89	OTHER SPECIFIED DRUG-INDUCED MENTAL DISORDERS	29289	F19122	10000
ICD9	729.4	FASCIITIS, UNSPECIFIED	7294	M729	10000
ICD9	718.36	RECURRENT DISLOCATION OF LOWER LEG JOINT	71836	M24469	10000
ICD9	376.6	RETAINED (OLD) FOREIGN BODY FOLLOWING PENETRATING WOUND OF ORBIT	3766	H0553	10000
ICD9	533.20	ACUTE PEPTIC ULCER OF UNSPECIFIED SITE WITH HEMORRHAGE AND PERFORATION, WITHOUT MENTION OF OBSTRUCTION	53320	K272	10000
ICD9	988.2	TOXIC EFFECT OF BERRIES AND OTHER PLANTS EATEN AS FOOD	9882	T621X1A	10000
ICD9	201.45	HODGKIN'S DISEASE, LYMPHOCYTIC-HISTIOCYTIC PREDOMINANCE INVOLVING LYMPH NODES OF INGUINAL REGION AND LOWER LIMB	20145	C8145	10000
ICD9	V74.8	SCREENING EXAMINATION FOR OTHER SPECIFIED BACTERIAL AND SPIROCHETAL DISEASES	V748	Z118	10000
ICD9	198.3	SECONDARY MALIGNANT NEOPLASM OF BRAIN AND SPINAL CORD	1983	C7931	10000
ICD9	751.69	OTHER CONGENITAL ANOMALIES OF GALLBLADDER, BILE DUCTS, AND LIVER	75169	Q444	10000
ICD9	V87.09	Contact with and (suspected) exposure to other hazardous metals	V8709	Z77018	10000
ICD9	366.16	SENILE NUCLEAR SCLEROSIS	36616	H2510	10000
ICD9	346.20	Variants of migraine, not elsewhere classified, without mention of intractable migraine, without mention of status migrainosus	34620	G43C0	10000
ICD9	292.89	OTHER SPECIFIED DRUG-INDUCED MENTAL DISORDERS	29289	F17228	10000
ICD9	164.9	MALIGNANT NEOPLASM OF MEDIASTINUM, PART UNSPECIFIED	1649	C383	00000
ICD9	995.53	CHILD SEXUAL ABUSE	99553	T7622XA	10000
ICD9	E858.8	ACCIDENTAL POISONING BY OTHER SPECIFIED DRUGS	E8588	NoDx	11000
ICD9	799.02	Hypoxemia	79902	R0902	00000
ICD9	567	Peritonitis and retroperitoneal infections	5670	K67	00000
ICD9	806.10	OPEN FRACTURE OF C(1)-C(4) LEVEL WITH UNSPECIFIED SPINAL CORD INJURY	80610	S12301B	10142
ICD9	V10.91	Personal History of Malignant Neuroendocrine Tumor	V1091	Z85230	10000
ICD9	655.11	Chromosomal abnormality in fetus affecting management of mother, delivered, with or without mention of antepartum condition	65511	O351XX0	10000
ICD9	994.3	EFFECTS OF THIRST	9943	T731XXA	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S82854D	10000
ICD9	805.12	Open fracture of second cervical vertebra, without mention of spinal cord injury	80512	S12100B	10000
ICD9	915.9	OTHER AND UNSPECIFIED SUPERFICIAL INJURY OF FINGERS, INFECTED	9159	S60939A	10111
ICD9	211.3	BENIGN NEOPLASM OF COLON	2113	D126	10000
ICD9	202.67	MALIGNANT MAST CELL TUMORS INVOLVING SPLEEN	20267	C9620	10000
ICD9	368.54	ACHROMATOPSIA	36854	H5351	00000
ICD9	346.61	Persistent migraine aura with cerebral infarction, with intractable migraine, so stated, without mention of status migrainosus	34661	G43619	00000
ICD9	E940.8	OTHER SPECIFIED CENTRAL NERVOUS SYSTEM STIMULANTS CAUSING ADVERSE EFFECTS IN THERAPEUTIC USE	E9408	NoDx	11000
ICD9	V62.2	OTHER OCCUPATIONAL CIRCUMSTANCES OR MALADJUSTMENT	V6229	Z658	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S89001D	10000
ICD9	851.95	OTHER AND UNSPECIFIED CEREBRAL LACERATION AND CONTUSION, WITH OPEN INTRACRANIAL WOUND, WITH PROLONGED [MORE THAN 24 HOURS] LOSS OF CONSCIOUSNESS, WITHOUT RETURN TO PRE-EXISTING CONSCIOUS LEVEL	85195	S06337A	10111
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S82252D	10000
ICD9	934.0	FOREIGN BODY IN TRACHEA	9340	T17418A	10000
ICD9	891	OPEN WOUND OF KNEE, LEG [EXCEPT THIGH], AND ANKLE	8910	S81809A	10000
ICD9	380.00	PERICHONDRITIS OF PINNA, UNSPECIFIED	38000	H61009	10000
ICD9	V61	OTHER FAMILY CIRCUMSTANCES	V619	Z639	10000
ICD9	653.40	Fetopelvic disproportion in pregnancy, labor, and delivery, unspecified as to episode of care or not applicable	65340	O334XX0	10000
ICD9	098.50	GONOCOCCAL ARTHRITIS	09850	A5442	00000
ICD9	873.75	OPEN WOUND OF PALATE, COMPLICATED	87375	S01522A	10000
ICD9	626.3	PUBERTY BLEEDING	6263	N922	00000
ICD9	770.9	UNSPECIFIED RESPIRATORY CONDITION OF FETUS AND NEWBORN	7709	P289	10000
ICD9	279.10	IMMUNODEFICIENCY WITH PREDOMINANT T-CELL DEFECT, UNSPECIFIED	27910	D848	10000
ICD9	982.8	TOXIC EFFECT OF OTHER NONPETROLEUM-BASED SOLVENTS	9828	T528X4A	10000
ICD9	908.5	LATE EFFECT OF FOREIGN BODY IN ORIFICE	9085	T1590XS	10000
ICD9	270.2	OTHER DISTURBANCES OF AROMATIC AMINO-ACID METABOLISM	2702	E7021	10000
ICD9	433.21	OCCLUSION AND STENOSIS OF VERTEBRAL ARTERY, WITH CEREBRAL INFARCTION	43321	I63019	10000
ICD9	376	DISORDERS OF THE ORBIT	37600	H0500	00000
ICD9	335.1	SPINAL MUSCULAR ATROPHY	33510	G1225	10000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S62211D	10000
ICD9	753.10	CYSTIC KIDNEY DISEASE, UNSPECIFIED	75310	Q6100	10000
ICD9	333.0	OTHER DEGENERATIVE DISEASES OF THE BASAL GANGLIA	3330	G230	10000
ICD9	627.3	POSTMENOPAUSAL ATROPHIC VAGINITIS	6273	N952	00000
ICD9	562.1	DIVERTICULA OF COLON	56210	K5730	10000
ICD9	159.9	MALIGNANT NEOPLASM OF ILL-DEFINED SITES WITHIN THE DIGESTIVE ORGANS AND PERITONEUM	1599	C269	10000
ICD9	V54.15	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER LEG	V5415	S72472D	10000
ICD9	641.13	Hemorrhage from placenta previa, antepartum condition or complication	64113	O4411	10000
ICD9	V54.15	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER LEG	V5415	S7292XD	10000
ICD9	996.73	OTHER COMPLICATIONS DUE TO RENAL DIALYSIS DEVICE, IMPLANT, AND GRAFT	99673	T82868A	10000
ICD9	261	NUTRITIONAL MARASMUS	261	E43	10000
ICD9	997.32	Postprocedural Aspiration Pneumonia	99732	J9589	10000
ICD9	V54.11	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER ARM	V5411	S42363D	10000
ICD9	292.89	OTHER SPECIFIED DRUG-INDUCED MENTAL DISORDERS	29289	F15288	10000
ICD9	379.8	OTHER SPECIFIED DISORDERS OF EYE AND ADNEXA	3798	H578	10000
ICD9	780.09	OTHER ALTERATION OF CONSCIOUSNESS	78009	R400	10000
ICD9	743.62	CONGENITAL DEFORMITIES OF EYELIDS	74362	Q101	10000
ICD9	V25.49	ENCOUNTER FOR SURVEILLANCE OF OTHER CONTRACEPTIVE METHOD	V2549	Z3049	10000
ICD9	209.50	Benign carcinoid tumor of the large intestine, unspecified portion	20950	D3A029	00000
ICD9	523	GINGIVAL AND PERIODONTAL DISEASES	52300	K0500	00000
ICD9	989.4	TOXIC EFFECT OF OTHER PESTICIDES, NOT ELSEWHERE CLASSIFIED	9894	T602X1A	10000
ICD9	916.5	INSECT BITE, NONVENOMOUS OF HIP, THIGH, LEG, AND ANKLE, INFECTED	9165	S80269A	10111
ICD9	V85.36	Body Mass Index 36.0-36.9, adult	V8536	Z6836	00000
ICD9	292.89	OTHER SPECIFIED DRUG-INDUCED MENTAL DISORDERS	29289	F11959	10000
ICD9	654.91	Other and unspecified abnormality of organs and soft tissues of pelvis, delivered, with or without mention of antepartum condition	65491	O3493	10000
ICD9	994.1	DROWNING AND NONFATAL SUBMERSION	9941	T751XXA	10000
ICD9	985	TOXIC EFFECT OF OTHER METALS	9850	T561X1A	10000
ICD9	524.24	Open anterior occlusal relationship	52424	M26220	00000
ICD9	801.25	CLOSED FRACTURE OF BASE OF SKULL WITH SUBARACHNOID, SUBDURAL, AND EXTRADURAL HEMORRHAGE, WITH PROLONGED [MORE THAN 24 HOURS] LOSS OF CONSCIOUSNESS, WITHOUT RETURN TO PRE-EXISTING CONSCIOUS LEVEL	80125	S065X7A	10112
ICD9	942	BURN OF TRUNK	94200	T2100XA	10000
ICD9	934.9	FOREIGN BODY IN RESPIRATORY TREE, UNSPECIFIED	9349	T17910A	10000
ICD9	V54.11	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER ARM	V5411	S42201D	10000
ICD9	140.9	MALIGNANT NEOPLASM OF LIP, UNSPECIFIED, VERMILION BORDER	1409	C002	10000
ICD9	530.89	OTHER SPECIFIED DISORDERS OF ESOPHAGUS	53089	K228	10000
ICD9	066.42	West Nile fever with other neurologic manifestation	06642	A9232	00000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S62624D	10000
ICD9	E919.9	ACCIDENTS CAUSED BY UNSPECIFIED MACHINERY	E9199	W319XXA	10000
ICD9	774.6	UNSPECIFIED FETAL AND NEONATAL JAUNDICE	7746	P599	10000
ICD9	922.33	CONTUSION OF INTERSCAPULAR REGION	92233	S20229A	10000
ICD9	848.3	SPRAIN OF RIBS	8483	S2341XA	10000
ICD9	E937.8	OTHER SEDATIVES AND HYPNOTICS CAUSING ADVERSE EFFECTS IN THERAPEUTIC USE	E9378	NoDx	11000
ICD9	872.63	OPEN WOUND OF EUSTACHIAN TUBE, UNCOMPLICATED	87263	S09309A	10000
ICD9	385.89	OTHER DISORDERS OF MIDDLE EAR AND MASTOID	38589	H748X9	10000
ICD9	813.42	OTHER CLOSED FRACTURES OF DISTAL END OF RADIUS (ALONE)	81342	S52509A	10000
ICD9	211.7	BENIGN NEOPLASM OF ISLETS OF LANGERHANS	2117	D137	00000
ICD9	648.2	ANEMIA COMPLICATING PREGNANCY, CHILDBIRTH, OR THE PUERPERIUM	64820	O99019	10000
ICD9	944.31	FULL-THICKNESS SKIN LOSS DUE TO BURN [THIRD DEGREE NOS] OF SINGLE DIGIT [FINGER (NAIL)] OTHER THAN THUMB	94431	T23329A	10000
ICD9	E929	LATE EFFECTS OF ACCIDENTAL INJURY	E9290	V877XXS	10000
ICD9	V15.83	Personal History of Underimmunization Status	V1583	Z283	00000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S82261D	10000
ICD9	V54.13	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF HIP	V5413	S32316D	10000
ICD9	945.45	Deep necrosis of underlying tissues due to burn [deep third degree] of knee, without mention of loss of a body part	94545	T24329A	10000
ICD9	041.9	BACTERIAL INFECTION, UNSPECIFIED, IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE	0419	B9689	10000
ICD9	292.89	OTHER SPECIFIED DRUG-INDUCED MENTAL DISORDERS	29289	F13180	10000
ICD9	619.0	URINARY-GENITAL TRACT FISTULA, FEMALE	6190	N821	10000
ICD9	V10.3	PERSONAL HISTORY OF MALIGNANT NEOPLASM OF BREAST	V103	Z853	00000
ICD9	995.29	Unspecified adverse effect of other drug, medicinal and biological substance	99529	T38905A	10000
ICD9	642.04	Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, postpartum condition or complication	64204	O1093	10000
ICD9	642.54	Severe pre-eclampsia, postpartum condition or complication	64254	O1423	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S89032D	10000
ICD9	716.48	TRANSIENT ARTHROPATHY INVOLVING OTHER SPECIFIED SITES	71648	M1288	10000
ICD9	787.23	Dysphagia, pharyngeal phase	78723	R1313	00000
ICD9	339.85	Primary stabbing headache	33985	G4485	00000
ICD9	782.1	RASH AND OTHER NONSPECIFIC SKIN ERUPTION	7821	R21	00000
ICD9	374.32	MYOGENIC PTOSIS	37432	H02429	10000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S62222D	10000
ICD9	E822.2	OTHER MOTOR VEHICLE NONTRAFFIC ACCIDENT INVOLVING COLLISION WITH MOVING OBJECT INJURING MOTORCYCLIST	E8222	V200XXA	10000
ICD9	872.79	OPEN WOUND OF EAR, OTHER AND MULTIPLE SITES, COMPLICATED	87279	S098XXA	10000
ICD9	756.3	OTHER CONGENITAL ANOMALIES OF RIBS AND STERNUM	7563	Q772	10000
ICD9	201.24	HODGKIN'S SARCOMA INVOLVING LYMPH NODES OF AXILLA AND UPPER LIMB	20124	C8174	10000
ICD9	440.2	ATHEROSCLEROSIS OF NATIVE ARTERIES OF THE EXTREMITIES	44020	I70209	10000
ICD9	288.61	Lymphocytosis (symptomatic)	28861	D72820	00000
ICD9	333.93	BENIGN SHUDDERING ATTACKS	33393	G2583	00000
ICD9	277.5	MUCOPOLYSACCHARIDOSIS	2775	E761	10000
ICD9	927.9	CRUSHING INJURY OF UNSPECIFIED SITE OF UPPER LIMB	9279	S479XXA	10000
ICD9	807.19	OPEN FRACTURE OF MULTIPLE RIBS, UNSPECIFIED	80719	S2249XB	10000
ICD9	646.73	Liver and Biliary Tract Disorders in Pregnancy, Antepartum Condition or Complication	64673	O26612	10000
ICD9	E955.1	SUICIDE AND SELF-INFLICTED INJURY BY SHOTGUN	E9551	X730XXA	10000
ICD9	533.00	ACUTE PEPTIC ULCER OF UNSPECIFIED SITE WITH HEMORRHAGE, WITHOUT MENTION OF OBSTRUCTION	53300	K270	10000
ICD9	E905.9	POISONING AND TOXIC REACTIONS CAUSED BY UNSPECIFIED ANIMALS AND PLANTS	E9059	NoDx	11000
ICD9	942.20	BLISTERS WITH EPIDERMAL LOSS DUE TO BURN [SECOND DEGREE] OF UNSPECIFIED SITE OF TRUNK	94220	T2160XA	10000
ICD9	905	LATE EFFECTS OF MUSCULOSKELETAL AND CONNECTIVE TISSUE INJURIES	9050	S02650S	10000
ICD9	967.0	POISONING BY BARBITURATES	9670	T423X1A	10000
ICD9	289.81	Primary hypercoagulable state	28981	D6859	10000
ICD9	421	ACUTE AND SUBACUTE ENDOCARDITIS	4210	I330	10000
ICD9	790	NONSPECIFIC FINDINGS ON EXAMINATION OF BLOOD	79001	R710	00000
ICD9	E929	LATE EFFECTS OF ACCIDENTAL INJURY	E9290	V879XXS	10000
ICD9	E866.9	ACCIDENTAL POISONING BY UNSPECIFIED SOLID OR LIQUID SUBSTANCE	E8669	NoDx	11000
ICD9	133.8	OTHER ACARIASIS	1338	B880	10000
ICD9	873.23	OPEN WOUND OF NASAL SINUS, UNCOMPLICATED	87323	S0123XA	10000
ICD9	201.13	HODGKIN'S GRANULOMA INVOLVING INTRA-ABDOMINAL LYMPH NODES	20113	C8173	10000
ICD9	E959	LATE EFFECTS OF SELF-INFLICTED INJURY	E959	X789XXS	10000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S62340D	10000
ICD9	671.11	Varicose veins of vulva and perineum in pregnancy and the puerperium, delivered, with or without mention of antepartum condition	67111	O2212	10000
ICD9	741.0	SPINA BIFIDA WITH HYDROCEPHALUS	74100	Q0702	10000
ICD9	886	TRAUMATIC AMPUTATION OF OTHER FINGER(S) (COMPLETE) (PARTIAL)	8860	S68629A	10000
ICD9	381.04	ACUTE ALLERGIC SEROUS OTITIS MEDIA	38104	H65119	10000
ICD9	800.26	CLOSED FRACTURE OF VAULT OF SKULL WITH SUBARACHNOID, SUBDURAL, AND EXTRADURAL HEMORRHAGE, WITH LOSS OF CONSCIOUSNESS OF UNSPECIFIED DURATION	80026	S066X9A	10112
ICD9	989.89	TOXIC EFFECT OF OTHER SUBSTANCES, CHIEFLY NONMEDICINAL AS TO SOURCE	98989	T656X3A	10000
ICD9	569.81	FISTULA OF INTESTINE, EXCLUDING RECTUM AND ANUS	56981	K632	10000
ICD9	V41.0	PROBLEMS WITH SIGHT	V410	Z973	10000
ICD9	625.71	Vulvar vestibulitis	62571	N94810	00000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S62394D	10000
ICD9	618.02	Cystocele, lateral	61802	N8112	00000
ICD9	560	INTESTINAL OBSTRUCTION WITHOUT MENTION OF HERNIA	5600	K561	00000
ICD9	806.06	CLOSED FRACTURE OF C(5)-C(7) LEVEL WITH COMPLETE LESION OF CORD	80606	S12600A	10132
ICD9	364.2	CERTAIN TYPES OF IRIDOCYCLITIS	36421	H20819	10000
ICD9	102.6	BONE AND JOINT LESIONS DUE TO YAWS	1026	A666	00000
ICD9	752.49	OTHER CONGENITAL ANOMALIES OF CERVIX, VAGINA, AND EXTERNAL FEMALE GENITALIA	75249	Q5271	10000
ICD9	995.29	Unspecified adverse effect of other drug, medicinal and biological substance	99529	T394X5A	10000
ICD9	190.0	MALIGNANT NEOPLASM OF EYEBALL, EXCEPT CONJUNCTIVA, CORNEA, RETINA, AND CHOROID	1900	C6940	10000
ICD9	V15.2	Personal history of surgery to other organs, presenting hazards to health	V1529	Z98890	10000
ICD9	965.9	POISONING BY UNSPECIFIED ANALGESIC AND ANTIPYRETIC	9659	T3993XA	10000
ICD9	099.2	GRANULOMA INGUINALE	0992	A58	00000
ICD9	292.89	OTHER SPECIFIED DRUG-INDUCED MENTAL DISORDERS	29289	F13981	10000
ICD9	718.00	ARTICULAR CARTILAGE DISORDER, SITE UNSPECIFIED	71800	M2410	10000
ICD9	654.91	Other and unspecified abnormality of organs and soft tissues of pelvis, delivered, with or without mention of antepartum condition	65491	O3429	10000
ICD9	V90.33	Retained Wood Fragments	V9033	Z1833	00000
ICD9	E899	ACCIDENT CAUSED BY UNSPECIFIED FIRE	E899	X088XXA	10000
ICD9	331	OTHER CEREBRAL DEGENERATIONS	3310	G309	10000
ICD9	843.1	ISCHIOCAPSULAR (LIGAMENT) SPRAIN	8431	S73129A	10000
ICD9	658.01	Oligohydramnios, delivered, with or without mention of antepartum condition	65801	O4103X0	10000
ICD9	906.2	LATE EFFECT OF SUPERFICIAL INJURY	9062	S40919S	10000
ICD9	799.51	Attention or Concentration Deficit	79951	R41840	00000
ICD9	558	OTHER AND UNSPECIFIED NONINFECTIOUS GASTROENTERITIS AND COLITIS	5589	K5289	10000
ICD9	V54.17	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF VERTEBRAE	V5417	S12112D	10000
ICD9	112.8	CANDIDIASIS OF OTHER SPECIFIED SITES	11289	B3789	10000
ICD9	951.9	INJURY TO UNSPECIFIED CRANIAL NERVE	9519	S049XXA	10000
ICD9	V85.54	Body Mass Index, pediatric, greater than or equal to 95th percentile for age	V8554	Z6854	00000
ICD9	728.3	OTHER SPECIFIC MUSCLE DISORDERS	7283	M6289	10000
ICD9	V54.13	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF HIP	V5413	S72112D	10000
ICD9	238.7	NEOPLASM OF UNCERTAIN BEHAVIOR OF OTHER LYMPHATIC AND HEMATOPOIETIC TISSUES	23879	D47Z9	10000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S62142D	10000
ICD9	752.31	Agenesis of Uterus	75231	Q510	10000
ICD9	347.11	Narcolepsy in conditions classified elsewhere with cataplexy	34711	G47421	00000
ICD9	367.1	MYOPIA	3671	H5213	10000
ICD9	801.00	CLOSED FRACTURE OF BASE OF SKULL WITHOUT MENTION OF INTRACRANIAL INJURY, WITH STATE OF CONSCIOUSNESS UNSPECIFIED	80100	S02102A	10000
ICD9	292.89	OTHER SPECIFIED DRUG-INDUCED MENTAL DISORDERS	29289	F14259	10000
ICD9	E953.8	SUICIDE AND SELF-INFLICTED INJURY BY HANGING, OTHER SPECIFIED MEANS	E9538	NoDx	11000
ICD9	523.25	Gingival recession, generalized	52325	K06020	10000
ICD9	346.13	Migraine without aura, with intractable migraine, so stated, with status migrainosus	34613	G43011	00000
ICD9	781.0	ABNORMAL INVOLUNTARY MOVEMENTS	7810	R251	10000
ICD9	802.4	MALAR AND MAXILLARY BONES, CLOSED FRACTURE	8024	S0240DA	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S82101D	10000
ICD9	913	SUPERFICIAL INJURY OF ELBOW, FOREARM, AND WRIST	9130	S60819A	10000
ICD9	996.82	COMPLICATIONS OF TRANSPLANTED LIVER	99682	T8641	10000
ICD9	655.10	Chromosomal abnormality in fetus affecting management of mother,  unspecified as to episode of care or not applicable	65510	O351XX0	10000
ICD9	948.72	BURN [ANY DEGREE] INVOLVING 70-79 PERCENT OF BODY SURFACE WITH THIRD DEGREE BURN OF 20-29%	94872	T3272	10000
ICD9	537.6	HOURGLASS STRICTURE OR STENOSIS OF STOMACH	5376	K312	00000
ICD9	283.19	OTHER NON-AUTOIMMUNE HEMOLYTIC ANEMIAS	28319	D594	10000
ICD9	736.79	OTHER ACQUIRED DEFORMITIES OF ANKLE AND FOOT	73679	M216X9	10000
ICD9	E868.0	ACCIDENTAL POISONING BY LIQUEFIED PETROLEUM GAS DISTRIBUTED IN MOBILE CONTAINERS	E8680	NoDx	11000
ICD9	011.31	TUBERCULOSIS OF BRONCHUS, BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE	01131	A155	10000
ICD9	305.92	OTHER, MIXED, OR UNSPECIFIED DRUG ABUSE, EPISODIC USE	30592	F1810	10000
ICD9	227	BENIGN NEOPLASM OF OTHER ENDOCRINE GLANDS AND RELATED STRUCTURES	2270	D3500	10000
ICD9	648.61	Other cardiovascular diseases complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition	64861	O9942	10000
ICD9	176.8	KAPOSI'S SARCOMA, OTHER SPECIFIED SITES	1768	C467	00000
ICD9	641.13	Hemorrhage from placenta previa, antepartum condition or complication	64113	O4453	10000
ICD9	358.01	Myasthenia gravis with (acute) exacerbation	35801	G7001	00000
ICD9	908.3	LATE EFFECT OF INJURY TO BLOOD VESSEL OF HEAD, NECK, AND EXTREMITIES	9083	S090XXS	10000
ICD9	996.88	Complications of Transplanted Organ, Stem Cell	99688	T865	00000
ICD9	200.51	Primary central nervous system lymphoma involving lymph nodes of head, face, and neck	20051	C8331	10000
ICD9	V59.0	BLOOD DONORS	V5909	Z52008	10000
ICD9	172.9	MELANOMA OF SKIN, SITE UNSPECIFIED	1729	C439	10000
ICD9	531.60	CHRONIC OR UNSPECIFIED GASTRIC ULCER WITH HEMORRHAGE AND PERFORATION, WITHOUT MENTION OF OBSTRUCTION	53160	K256	10000
ICD9	V45.74	ACQUIRED ABSENCE OF OTHER PARTS OF URINARY TRACT	V4574	Z906	00000
ICD9	778.1	SCLEREMA NEONATORUM	7781	P830	00000
ICD9	802.28	PART OF BODY OF MANDIBLE CLOSED FRACTURE OF OTHER AND UNSPECIFIED	80228	S02601A	10000
ICD9	516.62	Pulmonary Interstitial Glycogenosis	51662	J84842	00000
ICD9	E811.7	MOTOR VEHICLE TRAFFIC ACCIDENT INVOLVING RE-ENTRANT COLLISION WITH ANOTHER MOTOR VEHICLE INJURING PEDESTRIAN	E8117	V0310XA	10000
ICD9	364.72	ANTERIOR SYNECHIAE OF IRIS	36472	H21519	10000
ICD9	723.2	CERVICOCRANIAL SYNDROME	7232	M530	00000
ICD9	V54.17	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF VERTEBRAE	V5417	S1224XD	10000
ICD9	V54.13	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF HIP	V5413	S32512D	10000
ICD9	652.9	UNSPECIFIED MALPOSITION OR MALPRESENTATION OF FETUS	65290	O329XX0	10000
ICD9	290	Dementias	2900	F0390	10000
ICD9	569	OTHER DISORDERS OF INTESTINE	5690	K620	10000
ICD9	227.0	BENIGN NEOPLASM OF ADRENAL GLAND	2270	D3500	10000
ICD9	970.81	Poisoning by Cocaine	97081	T405X4A	10000
ICD9	531.21	ACUTE GASTRIC ULCER WITH HEMORRHAGE AND PERFORATION, WITH OBSTRUCTION	53121	K56699	10112
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S82465D	10000
